[sudo] password for mobile: 
20260602213137,192.168.70.135,44098,10.0.0.4,5001,1,0.0-1.0,1312710,10501680,0.000,0,893,0.000,0
20260602213138,192.168.70.135,44098,10.0.0.4,5001,1,1.0-2.0,1311240,10489920,0.000,0,892,0.000,0
20260602213139,192.168.70.135,44098,10.0.0.4,5001,1,2.0-3.0,1309770,10478160,0.000,0,891,0.000,0
20260602213140,192.168.70.135,44098,10.0.0.4,5001,1,3.0-4.0,1311240,10489920,0.000,0,892,0.000,0
20260602213141,192.168.70.135,44098,10.0.0.4,5001,1,4.0-5.0,1311240,10489920,0.000,0,892,0.000,0
20260602213142,192.168.70.135,44098,10.0.0.4,5001,1,5.0-6.0,1309770,10478160,0.000,0,891,0.000,0
20260602213143,192.168.70.135,44098,10.0.0.4,5001,1,6.0-7.0,1311240,10489920,0.000,0,892,0.000,0
20260602213144,192.168.70.135,44098,10.0.0.4,5001,1,7.0-8.0,1311240,10489920,0.000,0,892,0.000,0
20260602213145,192.168.70.135,44098,10.0.0.4,5001,1,8.0-9.0,1309770,10478160,0.000,0,891,0.000,0
20260602213146,192.168.70.135,44098,10.0.0.4,5001,1,9.0-10.0,1311240,10489920,0.000,0,892,0.000,0
20260602213146,192.168.70.135,44098,10.0.0.4,5001,1,0.0-10.0,13112400,10487981,0.000,0,-1,-0.000,0
